,text,_input_hash,_task_hash,options,_session_id,_view_id,accept,answer,meta,len,RnD,BM,Practice,Ops,MnA,Product,Enabler,CX
0,", it's not exactly like you to sell an asset to pay the dividend, that's questionone. Question two, you haven't really talked a lot about the digitalization of your domestic market, i.e.you don't have a lot of extra information versus what you said in your '14, '16 domestic plan, and",-256048603,188177303,"[{'id': 'BM', 'text': 'BM'}, {'id': 'CX', 'text': 'CX'}, {'id': 'Ops', 'text': 'Ops'}, {'id': 'Product', 'text': 'Product'}, {'id': 'MnA', 'text': 'MnA'}, {'id': 'RnD', 'text': 'RnD'}, {'id': 'Agile', 'text': 'Agile'}, {'id': 'Stragety', 'text': 'Stragety'}, {'id': 'Skills', 'text': 'Skills'}, {'id': 'Innovation', 'text': 'Innovation'}, {'id': 'DSS', 'text': 'DSS'}, {'id': 'Structure', 'text': 'Structure'}, {'id': 'Enablers', 'text': 'Enablers'}]",,choice,['Practice'],reject,,1,0,0,1,0,0,0,0,0
1,"This is essential to meet the significant forecasting growth in bothfixed and mobile network over our business. In mobile, we will continue to build 4G to 95% geographiccoverage by 2020 and intend to lead the market to 5G, looking to have a commercial product launchedwithin the next 18 months. We have already secured a 3.5 -- 3.4-gigahertz spectrum for 5G and planto participate in the 700-megahertz auction.",1817427124,-1988296892,"[{'id': 'BM', 'text': 'BM'}, {'id': 'CX', 'text': 'CX'}, {'id': 'Ops', 'text': 'Ops'}, {'id': 'Product', 'text': 'Product'}, {'id': 'MnA', 'text': 'MnA'}, {'id': 'RnD', 'text': 'RnD'}, {'id': 'Agile', 'text': 'Agile'}, {'id': 'Stragety', 'text': 'Stragety'}, {'id': 'Skills', 'text': 'Skills'}, {'id': 'Innovation', 'text': 'Innovation'}, {'id': 'DSS', 'text': 'DSS'}, {'id': 'Structure', 'text': 'Structure'}, {'id': 'Enablers', 'text': 'Enablers'}]",,choice,['Enabler'],accept,,1,0,0,0,0,0,0,1,0
2,"first, I guess I need more clarity on the outlook coming your Mobile Communications. Could you giveus some [indiscernible] the way you see units going for smartphones and feature phones into the firstquarter as well as overall smartphone HD trends? And when you say that about effectively profit could besomewhat similar last year, could you maybe flesh that out a little bit in Q1, please?Unknown ExecutiveIn terms of overall Mobile division for the first quarter, we expect right now, for smartphones, despite thefact that seasonally, there's slightly a weaker season, we do expect for our sales of smartphone shipmentsto slightly increase compared to fourth quarter of last year.",-348658847,-319644522,"[{'id': 'BM', 'text': 'BM'}, {'id': 'CX', 'text': 'CX'}, {'id': 'Ops', 'text': 'Ops'}, {'id': 'Product', 'text': 'Product'}, {'id': 'MnA', 'text': 'MnA'}, {'id': 'RnD', 'text': 'RnD'}, {'id': 'Agile', 'text': 'Agile'}, {'id': 'Stragety', 'text': 'Stragety'}, {'id': 'Skills', 'text': 'Skills'}, {'id': 'Innovation', 'text': 'Innovation'}, {'id': 'DSS', 'text': 'DSS'}, {'id': 'Structure', 'text': 'Structure'}, {'id': 'Enablers', 'text': 'Enablers'}]",,choice,[],reject,,0,0,0,0,0,0,0,0,0
3,"There was, this time around, some grossprofit rates pressure, which we had also guided for and, in fact, was a little bit better than even whatwe had guided for, meaning it was a little less of a drain year-over-year. And really, that had to do withsome of the evolving economics of mobile, which we've talked about quite a bit, somewhat offset by someof the cost reduction. I think Q1 is continuing on the journey that we laid out, which is, for the year, arelatively flattish OI rate on a 52-week basis.",-1508536258,-2076960358,"[{'id': 'BM', 'text': 'BM'}, {'id': 'CX', 'text': 'CX'}, {'id': 'Ops', 'text': 'Ops'}, {'id': 'Product', 'text': 'Product'}, {'id': 'MnA', 'text': 'MnA'}, {'id': 'RnD', 'text': 'RnD'}, {'id': 'Agile', 'text': 'Agile'}, {'id': 'Stragety', 'text': 'Stragety'}, {'id': 'Skills', 'text': 'Skills'}, {'id': 'Innovation', 'text': 'Innovation'}, {'id': 'DSS', 'text': 'DSS'}, {'id': 'Structure', 'text': 'Structure'}, {'id': 'Enablers', 'text': 'Enablers'}]",,choice,[],reject,,0,0,0,0,0,0,0,0,0
4,"The business was set up onone hand, and on the other hand, you had processes being delivered to the customer or running throughseveral organizations and one part of the -- indirect OpEx reduction you see here is obviously streamliningthe processes now in one organization much easier and getting rid of redundant organizational structuresin there. So that redundancy element, process optimization is one part of it. By the way, there is alsobetter capacity utilization of real estate locations in technology, which is a windfall or an effect of somepart of what we're doing in the IP migration.",22520491,1835472368,"[{'id': 'BM', 'text': 'BM'}, {'id': 'CX', 'text': 'CX'}, {'id': 'Ops', 'text': 'Ops'}, {'id': 'Product', 'text': 'Product'}, {'id': 'MnA', 'text': 'MnA'}, {'id': 'RnD', 'text': 'RnD'}, {'id': 'Agile', 'text': 'Agile'}, {'id': 'Stragety', 'text': 'Stragety'}, {'id': 'Skills', 'text': 'Skills'}, {'id': 'Innovation', 'text': 'Innovation'}, {'id': 'DSS', 'text': 'DSS'}, {'id': 'Structure', 'text': 'Structure'}, {'id': 'Enablers', 'text': 'Enablers'}]",,choice,['Ops'],accept,,1,0,0,0,1,0,0,0,0
5,"AndI'm asking you this because this year, we have had adverse impact from customer inventory andcryptocurrency that impacted your overall growth target for 2018. But in '19, would new products offsetany weakness that is associated with the mature products?C. C. WeiCEO & Vice ChairmanWell, in 2019, as I just mentioned, the inventory correction will be much less, in fact, as compared with2018, beginning of 2018.",374944871,1784007830,"[{'id': 'BM', 'text': 'BM'}, {'id': 'CX', 'text': 'CX'}, {'id': 'Ops', 'text': 'Ops'}, {'id': 'Product', 'text': 'Product'}, {'id': 'MnA', 'text': 'MnA'}, {'id': 'RnD', 'text': 'RnD'}, {'id': 'Agile', 'text': 'Agile'}, {'id': 'Stragety', 'text': 'Stragety'}, {'id': 'Skills', 'text': 'Skills'}, {'id': 'Innovation', 'text': 'Innovation'}, {'id': 'DSS', 'text': 'DSS'}, {'id': 'Structure', 'text': 'Structure'}, {'id': 'Enablers', 'text': 'Enablers'}]",,choice,[],reject,,0,0,0,0,0,0,0,0,0
6,"  6We have also been working below the glass in what the customer doesn't see, but it's just as critical,reinventing our operations through automation, robotics, process improvements, our technology andplatforms leveraging new ways, new technologies and by working in a different way, changing howwe work evolving towards an agile organization , really more being instead of functionally orientedorganization more of a project-based organization with shorter planning cycles and execution cycles,",106083120,-337131791,"[{'id': 'BM', 'text': 'BM'}, {'id': 'CX', 'text': 'CX'}, {'id': 'Ops', 'text': 'Ops'}, {'id': 'Product', 'text': 'Product'}, {'id': 'MnA', 'text': 'MnA'}, {'id': 'RnD', 'text': 'RnD'}, {'id': 'Agile', 'text': 'Agile'}, {'id': 'Stragety', 'text': 'Stragety'}, {'id': 'Skills', 'text': 'Skills'}, {'id': 'Innovation', 'text': 'Innovation'}, {'id': 'DSS', 'text': 'DSS'}, {'id': 'Structure', 'text': 'Structure'}, {'id': 'Enablers', 'text': 'Enablers'}]",,choice,[],reject,,0,0,0,0,0,0,0,0,0
7,"As a result, the conversions will begin to ramp up throughout this quarter and next, and we expect tocomplete all store conversions by the end of summer. Now as we complete each store conversion, andit's rebranded as CVS Pharmacy, at that point, we launch our additional core offerings -- core pharmacyofferings to include Specialty Connect, ExtraCare Pharmacy Rewards, along with our digital tools. Andthat's in addition to Maintenance Choice that was available upon the transaction close.",1585977154,944938051,"[{'id': 'BM', 'text': 'BM'}, {'id': 'CX', 'text': 'CX'}, {'id': 'Ops', 'text': 'Ops'}, {'id': 'Product', 'text': 'Product'}, {'id': 'MnA', 'text': 'MnA'}, {'id': 'RnD', 'text': 'RnD'}, {'id': 'Agile', 'text': 'Agile'}, {'id': 'Stragety', 'text': 'Stragety'}, {'id': 'Skills', 'text': 'Skills'}, {'id': 'Innovation', 'text': 'Innovation'}, {'id': 'DSS', 'text': 'DSS'}, {'id': 'Structure', 'text': 'Structure'}, {'id': 'Enablers', 'text': 'Enablers'}]",,choice,['CX'],accept,,1,0,0,0,0,0,0,0,1
8,"And we're getting all kinds of great ideas in terms of how toimprove Wells Fargo and many of them that we're implementing. So I'm really pleased with the progressthat we've made in terms of our internal communication. And we're seeing that in terms of some of thefeedback that we're getting from our team members, and then that translates into better service for ourcustomers.",-2091359690,1132791876,"[{'id': 'BM', 'text': 'BM'}, {'id': 'CX', 'text': 'CX'}, {'id': 'Ops', 'text': 'Ops'}, {'id': 'Product', 'text': 'Product'}, {'id': 'MnA', 'text': 'MnA'}, {'id': 'RnD', 'text': 'RnD'}, {'id': 'Agile', 'text': 'Agile'}, {'id': 'Stragety', 'text': 'Stragety'}, {'id': 'Skills', 'text': 'Skills'}, {'id': 'Innovation', 'text': 'Innovation'}, {'id': 'DSS', 'text': 'DSS'}, {'id': 'Structure', 'text': 'Structure'}, {'id': 'Enablers', 'text': 'Enablers'}]",,choice,['Enabler'],accept,,1,0,0,0,0,0,0,1,0
9,"How should we think about the ability of Mission Systems to grow relative to that?And are there any of the pieces of the business? Are there any of them that are much more positioned tooutperform or underperform that level of credit?Phebe N. NovakovicChairman & CEOSo in terms of Cyber EW and ground forces communications and networks, we are very well positionedon a going-forward basis. If you think about the backlog increase, we had an award of a very largecontract for IDIQ for CHS-5.",1279981578,25297234,"[{'id': 'BM', 'text': 'BM'}, {'id': 'CX', 'text': 'CX'}, {'id': 'Ops', 'text': 'Ops'}, {'id': 'Product', 'text': 'Product'}, {'id': 'MnA', 'text': 'MnA'}, {'id': 'RnD', 'text': 'RnD'}, {'id': 'Agile', 'text': 'Agile'}, {'id': 'Stragety', 'text': 'Stragety'}, {'id': 'Skills', 'text': 'Skills'}, {'id': 'Innovation', 'text': 'Innovation'}, {'id': 'DSS', 'text': 'DSS'}, {'id': 'Structure', 'text': 'Structure'}, {'id': 'Enablers', 'text': 'Enablers'}]",,choice,[],reject,,0,0,0,0,0,0,0,0,0
